# Line counts for every .c/.h/.py/.sh in rsync 3.5.0, the pinned upstream source.
# Lets the citation gate run where the source tree is absent (the required
# nextest cell does not fetch it). rsync 3.5.0 is a released tarball and is
# immutable, so this cannot drift; it is regenerated only when the pin moves.
# The key set is also the gate's answer to "does this upstream file exist", so
# a name missing here is a citation defect, not a manifest gap.
# Regenerate: cargo xtask citations --write-manifest  (needs the source present)
access.c	306
acls.c	1510
authenticate.c	474
backup.c	449
batch.c	348
byteorder.h	162
case_N.h	92
checksum.c	821
chmod.c	331
cleanup.c	306
clientname.c	538
clientserver.c	1778
compat.c	903
config.h	910
configure.sh	14230
connection.c	49
daemon-parm.h	397
default-cvsignore.h	3
default-dont-compress.h	3
delete.c	303
errcode.h	64
exclude.c	1997
fileio.c	392
flist.c	3760
generator.c	2929
getfsdev.c	22
getgroups.c	62
git-version.h	0
hashtable.c	677
help-rsync.h	157
help-rsyncd.h	16
hlink.c	587
ifuncs.h	112
inums.h	57
io.c	2731
io.h	52
itypes.h	71
latest-year.h	1
lib/acl.c	451
lib/acl.h	74
lib/addrinfo.h	180
lib/compat.c	272
lib/getaddrinfo.c	504
lib/getpass.c	72
lib/inet_ntop.c	186
lib/inet_pton.c	212
lib/md-defines.h	37
lib/md5.c	321
lib/mdfour.c	247
lib/mdigest.h	22
lib/permstring.c	65
lib/permstring.h	3
lib/pool_alloc.c	419
lib/pool_alloc.h	21
lib/snprintf.c	1512
lib/sysacls.c	2946
lib/sysacls.h	318
lib/sysxattrs.c	426
lib/sysxattrs.h	29
lib/wildmatch.c	381
lib/wildmatch.h	6
loadparm.c	711
log.c	963
main.c	1959
match.c	489
old_versions/build_static.sh	128
options.c	3327
packaging/pkglib.py	262
packaging/release.py	714
packaging/solaris/build_pkg.sh	94
params.c	652
pipe.c	178
popt/lookup3.c	959
popt/popt.c	1714
popt/popt.h	582
popt/poptconfig.c	509
popt/popthelp.c	888
popt/poptint.c	194
popt/poptint.h	158
popt/poptparse.c	241
popt/system.h	70
progress.c	241
proto.h	538
receiver.c	1380
rounding.c	38
rounding.h	1
rsync.c	995
rsync.h	1546
runtests.py	1024
sender.c	818
socket.c	1076
support/install_deps_ubuntu.sh	11
support/lsh.sh	37
support/rrsh.sh	21
support/savetransfer.c	175
syscall.c	3975
t_acl.c	532
t_chmod_secure.c	156
t_clean_fname.c	46
t_hashtable_overflow.c	50
t_iwildmatch.c	44
t_rename_secure.c	206
t_safe_arg.c	56
t_secure_relpath.c	231
t_stub.c	132
t_symlink_secure.c	160
t_unsafe.c	47
testrun.c	61
testsuite/00-hello_test.py	104
testsuite/abdiff.py	2824
testsuite/acl-symlink-race_test.py	169
testsuite/acls-default_test.py	98
testsuite/acls-depth_test.py	63
testsuite/acls-unpinnable_test.py	86
testsuite/acls_test.py	93
testsuite/alt-dest-deep_test.py	85
testsuite/alt-dest-symlink-race_test.py	98
testsuite/alt-dest_test.py	79
testsuite/append-shortsum_test.py	52
testsuite/append_test.py	73
testsuite/atimes_test.py	33
testsuite/authenticate-no-ocloexec-build-regression_test.py	82
testsuite/backup-acl-xattr-cache_test.py	77
testsuite/backup-crossdev-copy_test.py	110
testsuite/backup-deep_test.py	86
testsuite/backup-dir-relative_test.py	47
testsuite/backup-dir-repeated-separator-delete_test.py	49
testsuite/backup-dir-symlink-race_test.py	127
testsuite/backup-incremental_test.py	114
testsuite/backup_test.py	133
testsuite/bare-do-open-symlink-race_test.py	156
testsuite/basis-xname-traversal_test.py	222
testsuite/batch-file-symlink_test.py	219
testsuite/batch-mode_test.py	95
testsuite/batch-only-remove-source-regression_test.py	73
testsuite/change-shrink_test.py	51
testsuite/change-vanish_test.py	36
testsuite/chdir-symlink-race_test.py	143
testsuite/checksum-zero-blocklen_test.py	82
testsuite/chgrp_test.py	38
testsuite/chmod-option_test.py	126
testsuite/chmod-setid_test.py	33
testsuite/chmod-symlink-race_test.py	57
testsuite/chmod-temp-dir_test.py	65
testsuite/chmod_test.py	40
testsuite/chown-fake_test.py	73
testsuite/chown_test.py	73
testsuite/chroot-alt-dest-inner-module_test.py	14
testsuite/chroot-basis-forge-inner-module_test.py	100
testsuite/chroot-copy-dest-inner-module_test.py	37
testsuite/chroot-link-dest-inner-module_test.py	18
testsuite/chroot-receiver-write-inner-module_test.py	10
testsuite/chroot-special-inner-module_test.py	12
testsuite/clean-fname-collapse_test.py	21
testsuite/clean-fname-underflow_test.py	38
testsuite/cmptree.py	82
testsuite/compare_test.py	90
testsuite/compress-options_test.py	88
testsuite/compress-zlib-insert_test.py	72
testsuite/connect-prog-host-quoting_test.py	27
testsuite/connect-prog-nested-singlequote-host-injection_test.py	105
testsuite/copy-dest-source-symlink_test.py	95
testsuite/copy-dest-symlink-readleak_test.py	110
testsuite/copy-xattrs-symlink-race_test.py	160
testsuite/crtimes_test.py	38
testsuite/cvs-exclude_test.py	46
testsuite/daemon-access-ip_test.py	64
testsuite/daemon-access_test.py	82
testsuite/daemon-argv-limit_test.py	46
testsuite/daemon-auth-digest-floor_test.py	139
testsuite/daemon-auth-group_test.py	171
testsuite/daemon-auth-users-comma-only_test.py	180
testsuite/daemon-auth_test.py	92
testsuite/daemon-chroot-acl_test.py	144
testsuite/daemon-chroot-munge-default_test.py	107
testsuite/daemon-chroot_test.py	119
testsuite/daemon-config-symlink_test.py	126
testsuite/daemon-config_test.py	52
testsuite/daemon-copy-links-symlink_test.py	65
testsuite/daemon-copylinks-intree_test.py	49
testsuite/daemon-copylinks-parent-escape_test.py	87
testsuite/daemon-copylinks-parent-target-regression_test.py	55
testsuite/daemon-delete-stats_test.py	48
