# Line counts for every .c/.h/.py/.sh in rsync 3.4.4, the pinned upstream source.
# Lets the citation gate run where the source tree is absent (the required
# nextest cell does not fetch it). rsync 3.4.4 is a released tarball and is
# immutable, so this cannot drift; it is regenerated only when the pin moves.
# The key set is also the gate's answer to "does this upstream file exist", so
# a name missing here is a citation defect, not a manifest gap.
# Regenerate: cargo xtask citations --write-manifest  (needs the source present)
access.c	292
acls.c	1141
android.c	82
authenticate.c	376
backup.c	355
batch.c	312
byteorder.h	131
case_N.h	92
checksum.c	803
chmod.c	249
cleanup.c	298
clientname.c	538
clientserver.c	1588
compat.c	892
config.h	870
configure.sh	14048
connection.c	47
daemon-parm.h	381
default-cvsignore.h	3
default-dont-compress.h	3
delete.c	240
errcode.h	64
exclude.c	1698
fileio.c	332
flist.c	3458
generator.c	2455
getfsdev.c	22
getgroups.c	61
git-version.h	0
hashtable.c	662
help-rsync.h	148
help-rsyncd.h	16
hlink.c	566
ifuncs.h	112
inums.h	57
io.c	2536
io.h	52
itypes.h	71
latest-year.h	1
lib/addrinfo.h	180
lib/compat.c	272
lib/getaddrinfo.c	504
lib/getpass.c	72
lib/inet_ntop.c	186
lib/inet_pton.c	212
lib/md-defines.h	37
lib/md5.c	321
lib/mdfour.c	247
lib/mdigest.h	22
lib/permstring.c	65
lib/permstring.h	3
lib/pool_alloc.c	376
lib/pool_alloc.h	21
lib/snprintf.c	1512
lib/sysacls.c	2802
lib/sysacls.h	307
lib/sysxattrs.c	310
lib/sysxattrs.h	26
lib/wildmatch.c	368
lib/wildmatch.h	6
loadparm.c	592
log.c	916
main.c	1879
match.c	448
options.c	3156
packaging/pkglib.py	255
packaging/release.py	703
packaging/solaris/build_pkg.sh	94
params.c	645
pipe.c	178
popt/lookup3.c	959
popt/popt.c	1714
popt/popt.h	582
popt/poptconfig.c	509
popt/popthelp.c	888
popt/poptint.c	194
popt/poptint.h	158
popt/poptparse.c	241
popt/system.h	70
progress.c	241
proto.h	484
receiver.c	1118
rounding.c	38
rounding.h	1
rsync.c	831
rsync.h	1512
runtests.py	485
sender.c	494
socket.c	845
support/install_deps_ubuntu.sh	11
support/lsh.sh	37
support/savetransfer.c	175
syscall.c	2149
t_chmod_secure.c	117
t_secure_relpath.c	151
t_stub.c	120
t_unsafe.c	47
testhelp/maketree.py	133
testrun.c	61
tls.c	299
token.c	1143
trimslash.c	47
uidlist.c	621
usage.c	372
util1.c	1803
util2.c	145
version.h	2
wildtest.c	223
xattrs.c	1287
zlib/adler32.c	167
zlib/compress.c	70
zlib/crc32.c	399
zlib/crc32.h	441
zlib/deflate.c	1970
zlib/deflate.h	343
zlib/gzguts.h	209
zlib/inffast.c	319
zlib/inffast.h	11
zlib/inffixed.h	94
zlib/inflate.c	1497
zlib/inflate.h	126
zlib/inftrees.c	300
zlib/inftrees.h	62
zlib/trees.c	1155
zlib/trees.h	128
zlib/zconf.h	511
zlib/zlib.h	1769
zlib/zutil.c	309
zlib/zutil.h	251
